group_id,plant_key_name,unit_key_name,type,name,power
91,川越火力発電所,４-４号機,42,4-4号機,24.3
91,川越火力発電所,４-５号機,42,4-5号機,24.3
91,川越火力発電所,４-６号機,42,4-6号機,24.3
91,川越火力発電所,４-７号機,42,4-7号機,24.3
92,知多火力発電所,５号機,42,5号機,70.0
92,知多火力発電所,６号機,42,6号機,85.4
93,知多第二火力発電所,１号機,42,1号機,85.4
93,知多第二火力発電所,２号機,42,2号機,85.4
94,四日市火力発電所,４-１号機,41,4-1号機,11.7
94,四日市火力発電所,４-２号機,41,4-2号機,11.7
94,四日市火力発電所,４-３号機,41,4-3号機,11.7
94,四日市火力発電所,４-４号機,41,4-4号機,11.7
94,四日市火力発電所,４-５号機,41,4-5号機,11.7
95,碧南火力発電所,１号機,32,1号機,70.0
95,碧南火力発電所,２号機,32,2号機,70.0
95,碧南火力発電所,３号機,33,3号機,70.0
95,碧南火力発電所,４号機,33,4号機,100.0
95,碧南火力発電所,５号機,33,5号機,100.0
96,武豊火力発電所,５号機,33,5号機,107.0
97,渥美火力発電所,３号機,50,3号機,70.0
97,渥美火力発電所,４号機,50,4号機,70.0
98,名古屋発電所,1号機,31,1号機,14.9
99,名古屋第二発電所,1号機,31,1号機,11.0
100,四日市霞発電所,単独,90,,23.0
101,出光愛知第3発電所,単独,50,,22.557
102,豊橋発電所,単独,31,,14.7
103,徳山発電所,１号機,20,1号機,13.9
104,木曽発電所,単独,20,,11.6
105,電源開発御母衣発電所,1号機,20,1号機,10.75
105,電源開発御母衣発電所,2号機,20,2号機,10.75
106,奥美濃発電所,１号機,21,1号機,25.0
106,奥美濃発電所,２号機,21,2号機,25.0
106,奥美濃発電所,３号機,21,3号機,25.0
106,奥美濃発電所,４号機,21,4号機,25.0
106,奥美濃発電所,５号機,21,5号機,25.0
106,奥美濃発電所,６号機,21,6号機,25.0
107,奥矢作発電所,第一発電所,21,第一,32.3
107,奥矢作発電所,第二発電所,21,第二,78.0
108,電源開発新豊根発電所（中部）,1号機,22,1号機,22.5
108,電源開発新豊根発電所（中部）,2号機,22,2号機,22.5
108,電源開発新豊根発電所（中部）,3号機,22,3号機,22.5
108,電源開発新豊根発電所（中部）,4号機,22,4号機,22.5
108,電源開発新豊根発電所（中部）,5号機,22,5号機,22.5
109,馬瀬川第一発電所,１号機,22,1号機,14.4
109,馬瀬川第一発電所,２号機,22,2号機,14.4
110,北陸電力 志賀原子力発電所,1号機,10,1号機,54.0
110,北陸電力 志賀原子力発電所,2号機,10,2号機,120.6
111,北陸電力 富山新港火力発電所,石炭1号機,31,石炭1号機,25.0
111,北陸電力 富山新港火力発電所,石炭2号機,31,石炭2号機,25.0
111,北陸電力 富山新港火力発電所,1号機,50,1号機,24.0
111,北陸電力 富山新港火力発電所,2号機,40,2号機,50.0
111,北陸電力 富山新港火力発電所,LNG1号機,43,LNG1号機,42.47
112,北陸電力 七尾大田火力発電所,1号機,33,1号機,50.0
112,北陸電力 七尾大田火力発電所,2号機,33,2号機,70.0
113,北陸電力 敦賀火力発電所,1号機,32,1号機,50.0
113,北陸電力 敦賀火力発電所,2号機,33,2号機,70.0
114,北陸電力 富山火力発電所,4号機,50,4号機,25.0
115,北陸電力 福井火力発電所,三国1号機,50,三国1号機,25.0
116,北陸電力 有峰第一発電所,単独,20,第一,26.5
116,北陸電力 有峰第二発電所,単独,20,第二,12.3
117,電源開発 手取川第一,,20,,25.0
118,下小鳥発電所,単独,20,,14.2
119,音沢発電所,単独,20,,12.4
120,電源開発 長野発電所（北陸）,1号機,22,1号機,11.0
120,電源開発長野発電所（北陸）,2号機,22,2号機,11.0
121,高浜発電所,１号機,10,1号機,82.6
121,高浜発電所,２号機,10,2号機,82.6
121,高浜発電所,３号機,10,3号機,82.7
121,高浜発電所,４号機,10,4号機,82.6
122,大飯発電所,３号機,10,3号機,118.0
122,大飯発電所,４号機,10,4号機,119.0
123,美浜発電所,３号機,10,3号機,82.6
124,敦賀発電所2号機,単独,10,2号機,116.0
125,姫路第二発電所,１号機,44,1号機,48.65
125,姫路第二発電所,２号機,44,2号機,48.65
125,姫路第二発電所,３号機,44,3号機,48.65
125,姫路第二発電所,４号機,44,4号機,48.65
125,姫路第二発電所,５号機,44,5号機,48.65
125,姫路第二発電所,６号機,44,6号機,48.65
126,堺港発電所,１号機,43,1号機,40.0
126,堺港発電所,２号機,43,2号機,40.0
126,堺港発電所,３号機,43,3号機,40.0
126,堺港発電所,４号機,43,4号機,40.0
126,堺港発電所,５号機,43,5号機,40.0
127,姫路第一発電所,５号機,42,5号機,72.9
127,姫路第一発電所,６号機,42,6号機,71.3
128,泉北天然ガス第二発電所,１号機,42,1号機,27.7
128,泉北天然ガス第二発電所,２号機,42,2号機,27.7
128,泉北天然ガス第一発電所,３号機,42,3号機,27.75
128,泉北天然ガス第一発電所,４号機,42,4号機,27.75
129,神戸発電所,１号機,32,1号機,70.0
129,神戸発電所,２号機,32,2号機,70.0
129,神戸発電所,3号機,33,3号機,65.0
129,神戸発電所,4号機,33,4号機,65.0
130,舞鶴発電所,１号機,33,1号機,90.0
130,舞鶴発電所,２号機,33,2号機,90.0
131,南港発電所,１号機,40,1号機,60.0
131,南港発電所,２号機,40,2号機,60.0
131,南港発電所,３号機,40,3号機,60.0
132,電源開発高砂火力発電所,1号機,31,1号機,25.0
132,電源開発高砂火力発電所,2号機,31,2号機,25.0
133,御坊発電所,１号機,50,1号機,60.0
133,御坊発電所,２号機,50,2号機,60.0
133,御坊発電所,３号機,50,3号機,60.0
134,赤穂発電所,１号機,50,1号機,60.0
134,赤穂発電所,２号機,50,2号機,60.0
135,相生バイオマス発電所,単独,90,,30.0
136,船町発電所,第１号発電設備,41,1号機,14.9
137,酉島エネルギーセンター発電所,酉島エネルギーセンター発電所,42,,14.0
138,日本製鉄(株) 広畑発電所 第7号発電設備,広畑7号,31,,13.3
139,奥多々良木発電所,１号機,21,1号機,30.3
139,奥多々良木発電所,２号機,21,2号機,30.3
139,奥多々良木発電所,３号機,21,3号機,30.3
139,奥多々良木発電所,４号機,21,4号機,30.3
139,奥多々良木発電所,５号機,21,5号機,36.0
139,奥多々良木発電所,６号機,21,6号機,36.0
140,大河内発電所,１号機,21,1号機,32.0
140,大河内発電所,２号機,21,2号機,32.0
140,大河内発電所,３号機,21,3号機,32.0
140,大河内発電所,４号機,21,4号機,32.0
141,奥吉野発電所,１号機,21,1号機,20.1
141,奥吉野発電所,２号機,21,2号機,20.1
141,奥吉野発電所,３号機,21,3号機,20.1
141,奥吉野発電所,４号機,21,4号機,20.1
141,奥吉野発電所,５号機,21,5号機,20.1
141,奥吉野発電所,６号機,21,6号機,20.1
142,喜撰山発電所,１号機,21,1号機,23.3
142,喜撰山発電所,２号機,21,2号機,23.3
143,電源開発池原発電所（関西）,3号機,22,3号機,10.3
143,電源開発池原発電所（関西）,4号機,22,4号機,10.3
144,島根原子力発電所第２号機,単独,10,2号機,82.0
145,柳井発電所第１号系列下位,１-１号,41,1-1号,13.1
145,柳井発電所第１号系列上位,１-２号,41,1-2号,13.1
145,柳井発電所第１号系列上位,１-３号,41,1-3号,13.1
145,柳井発電所第１号系列上位,１-４号,41,1-4号,13.1
145,柳井発電所第１号系列上位,１-５号,41,1-5号,13.1
145,柳井発電所第１号系列上位,１-６号,41,1-6号,13.1
146,柳井発電所第２号系列,２-１号,42,2-1号,19.8
146,柳井発電所第２号系列,２-２号,42,2-2号,19.8
146,柳井発電所第２号系列,２-３号,42,2-3号,19.8
146,柳井発電所第２号系列,２-４号,42,2-4号,19.8
147,水島発電所第１号機,１号機,42,1号機,28.5
147,水島発電所第３号機,３号機,40,3号機,34.0
148,三隅発電所第１号機,１号機,33,1号機,100.0
148,三隅発電所第２号機,２号機,33,2号機,100.0
149,電源開発竹原火力発電所新１号機,1号機,33,1号機,60.0
149,電源開発竹原火力発電所３号機,3号機,32,3号機,70.0
150,玉島発電所第１号機,１号機,40,1号機,35.0
150,玉島発電所第２号機,２号機,50,2号機,35.0
