エリア,グループ名,発電所名,ユニット名,発電方式,凡例のユニット名,認可出力(万kW)
CHUBU,JERA 碧南火力,碧南火力発電所,１号機,SC,1号機,70.0
CHUBU,JERA 碧南火力,碧南火力発電所,２号機,SC,2号機,70.0
CHUBU,JERA 碧南火力,碧南火力発電所,３号機,USC,3号機,70.0
CHUBU,JERA 碧南火力,碧南火力発電所,４号機,USC,4号機,100.0
CHUBU,JERA 碧南火力,碧南火力発電所,５号機,USC,5号機,100.0
CHUBU,JERA 武豊火力,武豊火力発電所,５号機,USC,5号機,107.0
CHUBU,JERA 渥美火力,渥美火力発電所,３号機,OIL,3号機,70.0
CHUBU,JERA 渥美火力,渥美火力発電所,４号機,OIL,4号機,70.0
CHUBU,中山名古屋共同発電(株) 名古屋,名古屋発電所,1号機,SUB_C,名古屋,14.9
CHUBU,中山名古屋共同発電(株) 名古屋,名古屋第二発電所,1号機,SUB_C,名古屋第二,11.0
CHUBU,コスモ石油 四日市霞,四日市霞発電所,単独,OTHER,,23.0
